No.,sample_id,date,temp,aggregate,leachate,notes,species
1,H4H,6/17/2024,hot,4,high,,A. elegantissima x B. muscatinei
14,A5H,6/17/2024,ambient,5,high,,A. elegantissima x B. muscatinei
27,A9C,6/17/2024,ambient,9,control,,A. elegantissima x B. muscatinei
53,H5L,6/17/2024,hot,5,low,,A. elegantissima x B. muscatinei
73,H2H,6/17/2024,hot,2,high,,A. elegantissima x B. muscatinei
86,H8L,6/17/2024,hot,8,low,,A. elegantissima x B. muscatinei
99,A10H,6/17/2024,ambient,10,high,,A. elegantissima x B. muscatinei
112,H10H,6/17/2024,hot,10,high,,A. elegantissima x B. muscatinei
125,H5C,6/17/2024,hot,5,control,,A. elegantissima x B. muscatinei
138,A2H,6/17/2024,ambient,2,high,,A. elegantissima x B. muscatinei
151,H10C,6/17/2024,hot,10,control,,A. elegantissima x B. muscatinei
164,A9L,6/17/2024,ambient,9,low,,A. elegantissima x B. muscatinei
177,H1H,6/17/2024,hot,1,high,,A. elegantissima x B. muscatinei
190,H9H,6/17/2024,hot,9,high,,A. elegantissima x B. muscatinei
203,A5L,6/17/2024,ambient,5,low,,A. elegantissima x B. muscatinei
216,A8H,6/17/2024,ambient,8,high,,A. elegantissima x B. muscatinei
229,A4C,6/17/2024,ambient,4,control,,A. elegantissima x B. muscatinei
242,H5H,6/17/2024,hot,5,high,,A. elegantissima x B. muscatinei
255,A6C,6/17/2024,ambient,6,control,,A. elegantissima x B. muscatinei
268,H1L,6/17/2024,hot,1,low,,A. elegantissima x B. muscatinei
281,A3L,6/17/2024,ambient,3,low,,A. elegantissima x B. muscatinei
294,H9L,6/17/2024,hot,9,low,,A. elegantissima x B. muscatinei
307,A6H,6/17/2024,ambient,6,high,,A. elegantissima x B. muscatinei
320,H9C,6/17/2024,hot,9,control,,A. elegantissima x B. muscatinei
346,H6L,6/17/2024,hot,6,low,,A. elegantissima x B. muscatinei
359,H10L,6/17/2024,hot,10,low,,A. elegantissima x B. muscatinei
372,A2C,6/17/2024,ambient,2,control,,A. elegantissima x B. muscatinei
385,A2L,6/17/2024,ambient,2,low,,A. elegantissima x B. muscatinei
398,A5C,6/17/2024,ambient,5,control,,A. elegantissima x B. muscatinei
411,H8C,6/17/2024,hot,8,control,,A. elegantissima x B. muscatinei
424,H4L,6/17/2024,hot,4,low,,A. elegantissima x B. muscatinei
437,H7H,6/17/2024,hot,7,high,,A. elegantissima x B. muscatinei
450,A8L,6/17/2024,ambient,8,low,split,A. elegantissima x B. muscatinei
463,A8L,6/17/2024,ambient,8,low,split,A. elegantissima x B. muscatinei
476,H4C,6/17/2024,hot,4,control,,A. elegantissima x B. muscatinei
489,A1C,6/17/2024,ambient,1,control,,A. elegantissima x B. muscatinei
502,A8C,6/17/2024,ambient,8,control,,A. elegantissima x B. muscatinei
515,A7L,6/17/2024,ambient,7,low,,A. elegantissima x B. muscatinei
528,H8H,6/17/2024,hot,8,high,,A. elegantissima x B. muscatinei
541,H7L,6/17/2024,hot,7,low,,A. elegantissima x B. muscatinei
555,H3H,6/17/2024,hot,3,high,,A. elegantissima x B. muscatinei
568,H2C,6/17/2024,hot,2,control,,A. elegantissima x B. muscatinei
581,A3H,6/17/2024,ambient,3,high,,A. elegantissima x B. muscatinei
594,H6H,6/17/2024,hot,6,high,,A. elegantissima x B. muscatinei
607,H3L,6/17/2024,hot,3,low,,A. elegantissima x B. muscatinei
620,A7H,6/17/2024,ambient,7,high,,A. elegantissima x B. muscatinei
633,A9H,6/17/2024,ambient,9,high,,A. elegantissima x B. muscatinei
646,H1C,6/17/2024,hot,1,control,,A. elegantissima x B. muscatinei
659,A4H,6/17/2024,ambient,4,high,,A. elegantissima x B. muscatinei
672,H3C,6/17/2024,hot,3,control,,A. elegantissima x B. muscatinei
685,A1L,6/17/2024,ambient,1,low,,A. elegantissima x B. muscatinei
698,A10C,6/17/2024,ambient,10,control,,A. elegantissima x B. muscatinei
711,H6C,6/17/2024,hot,6,control,,A. elegantissima x B. muscatinei
731,H2L,6/17/2024,hot,2,low,,A. elegantissima x B. muscatinei
744,A10L,6/17/2024,ambient,10,low,,A. elegantissima x B. muscatinei
757,A6L,6/17/2024,ambient,6,low,,A. elegantissima x B. muscatinei
770,A1H,6/17/2024,ambient,1,high,,A. elegantissima x B. muscatinei
783,A4L,6/17/2024,ambient,4,low,,A. elegantissima x B. muscatinei
796,A3C,6/17/2024,ambient,3,control,,A. elegantissima x B. muscatinei
809,H7C,6/17/2024,hot,7,control,,A. elegantissima x B. muscatinei
822,A7C,6/17/2024,ambient,7,control,,A. elegantissima x B. muscatinei
