No.,sample_id,condition,date,temp,aggregate,leachate,notes,species
14,H2C,1,6/19/2024,hot,2,control,,A. elegantissima x B. muscatinei
27,A5H,1,6/19/2024,ambient,5,high,,A. elegantissima x B. muscatinei
40,A9L,1,6/19/2024,ambient,9,low,,A. elegantissima x B. muscatinei
53,H10L,1,6/19/2024,hot,10,low,,A. elegantissima x B. muscatinei
66,H1H,2,6/19/2024,hot,1,high,,A. elegantissima x B. muscatinei
92,A9C,1,6/19/2024,ambient,9,control,,A. elegantissima x B. muscatinei
105,A4C,1,6/19/2024,ambient,4,control,,A. elegantissima x B. muscatinei
118,H8L,1,6/19/2024,hot,8,low,,A. elegantissima x B. muscatinei
131,H10H,1,6/19/2024,hot,10,high,,A. elegantissima x B. muscatinei
144,H3C,1,6/19/2024,hot,3,control,,A. elegantissima x B. muscatinei
157,A8C,1,6/19/2024,ambient,8,control,split,A. elegantissima x B. muscatinei
170,A1L,1,6/19/2024,ambient,1,low,,A. elegantissima x B. muscatinei
183,A7H,1,6/19/2024,ambient,7,high,,A. elegantissima x B. muscatinei
196,H2L,1,6/19/2024,hot,2,low,,A. elegantissima x B. muscatinei
209,H3H,1,6/19/2024,hot,3,high,,A. elegantissima x B. muscatinei
222,H7H,1,6/19/2024,hot,7,high,,A. elegantissima x B. muscatinei
235,A8L,1,6/19/2024,ambient,8,low,split,A. elegantissima x B. muscatinei
248,A2C,1,6/19/2024,ambient,2,control,,A. elegantissima x B. muscatinei
261,A4H,1,6/19/2024,ambient,4,high,,A. elegantissima x B. muscatinei
274,A4L,1,6/19/2024,ambient,4,low,,A. elegantissima x B. muscatinei
287,H4L,1,6/19/2024,hot,4,low,,A. elegantissima x B. muscatinei
300,H7C,1,6/19/2024,hot,7,control,,A. elegantissima x B. muscatinei
313,H10C,1,6/19/2024,hot,10,control,,A. elegantissima x B. muscatinei
326,H5H,1,6/19/2024,hot,5,high,,A. elegantissima x B. muscatinei
339,A5L,1,6/19/2024,ambient,5,low,,A. elegantissima x B. muscatinei
352,A10H,1,6/19/2024,ambient,10,high,,A. elegantissima x B. muscatinei
365,A3L,1,6/19/2024,ambient,3,low,,A. elegantissima x B. muscatinei
378,A7C,1,6/19/2024,ambient,7,control,,A. elegantissima x B. muscatinei
391,H1L,2,6/19/2024,hot,1,low,,A. elegantissima x B. muscatinei
404,H6L,1,6/19/2024,hot,6,low,,A. elegantissima x B. muscatinei
417,H6H,1,6/19/2024,hot,6,high,,A. elegantissima x B. muscatinei
430,H1C,2,6/19/2024,hot,1,control,,A. elegantissima x B. muscatinei
443,H4C,1,6/19/2024,hot,4,control,,A. elegantissima x B. muscatinei
456,H9H,1,6/19/2024,hot,9,high,,A. elegantissima x B. muscatinei
469,A6C,1,6/19/2024,ambient,6,control,,A. elegantissima x B. muscatinei
482,A6H,1,6/19/2024,ambient,6,high,,A. elegantissima x B. muscatinei
495,A1H,1,6/19/2024,ambient,1,high,,A. elegantissima x B. muscatinei
508,A3H,1,6/19/2024,ambient,3,high,,A. elegantissima x B. muscatinei
521,A5C,1,6/19/2024,ambient,5,control,,A. elegantissima x B. muscatinei
534,H5L,1,6/19/2024,hot,5,low,,A. elegantissima x B. muscatinei
547,H8C,1,6/19/2024,hot,8,control,,A. elegantissima x B. muscatinei
560,H6C,1,6/19/2024,hot,6,control,,A. elegantissima x B. muscatinei
573,A2L,1,6/19/2024,ambient,2,low,,A. elegantissima x B. muscatinei
599,A9H,1,6/19/2024,ambient,9,high,,A. elegantissima x B. muscatinei
612,A10C,1,6/19/2024,ambient,10,control,,A. elegantissima x B. muscatinei
625,A7L,1,6/19/2024,ambient,7,low,,A. elegantissima x B. muscatinei
638,H9L,1,6/19/2024,hot,9,low,,A. elegantissima x B. muscatinei
651,H9C,1,6/19/2024,hot,9,control,,A. elegantissima x B. muscatinei
664,H2H,1,6/19/2024,hot,2,high,,A. elegantissima x B. muscatinei
677,H8H,1,6/19/2024,hot,8,high,,A. elegantissima x B. muscatinei
690,A10L,1,6/19/2024,ambient,10,low,,A. elegantissima x B. muscatinei
703,A1C,1,6/19/2024,ambient,1,control,,A. elegantissima x B. muscatinei
716,A6L,1,6/19/2024,ambient,6,low,,A. elegantissima x B. muscatinei
729,A8H,1,6/19/2024,ambient,8,high,,A. elegantissima x B. muscatinei
742,A3C,1,6/19/2024,ambient,3,control,,A. elegantissima x B. muscatinei
755,A2H,1,6/19/2024,ambient,2,high,,A. elegantissima x B. muscatinei
768,H7L,2,6/19/2024,hot,7,low,,A. elegantissima x B. muscatinei
781,H4H,1,6/19/2024,hot,4,high,,A. elegantissima x B. muscatinei
794,H5C,1,6/19/2024,hot,5,control,,A. elegantissima x B. muscatinei
807,H3L,1,6/19/2024,hot,3,low,,A. elegantissima x B. muscatinei
