"","Date","Time","Type","sample_id","condition","temp","aggregate","leachate","1:F","alpha","ETRm","Ik","days_of_exposure","treatment"
"1","24-07-20",10:24:10,"REG2","H3L",1,"hot",3,"low","#1: alpha: 0.123, ETRm: 71.467, Ik: 578.685   (Jassby and Platt 1976)",0.123,71.467,578.685,2,"hot_low"
"2","24-07-20",10:27:55,"REG2","A1C",1,"ambient",1,"control","#1: alpha: 0.089, ETRm: 56.553, Ik: 637.793   (Jassby and Platt 1976)",0.089,56.553,637.793,2,"ambient_control"
"3","24-07-20",10:36:14,"REG2","H8C",2,"hot",8,"control","#1: alpha: 0.142, ETRm: 58.412, Ik: 411.320   (Jassby and Platt 1976)",0.142,58.412,411.32,2,"hot_control"
"4","24-07-20",10:40:23,"REG2","A6H",1,"ambient",6,"high","#1: alpha: 0.091, ETRm: 51.614, Ik: 568.158   (Jassby and Platt 1976)",0.091,51.614,568.158,2,"ambient_high"
"5","24-07-20",10:44:39,"REG2","A9L",1,"ambient",9,"low","#1: alpha: 0.171, ETRm: 46.255, Ik: 270.844   (Jassby and Platt 1976)",0.171,46.255,270.844,2,"ambient_low"
"6","24-07-20",10:48:07,"REG2","A7C",1,"ambient",7,"control","#1: alpha: 0.057, ETRm: 52.151, Ik: 921.123   (Jassby and Platt 1976)",0.057,52.151,921.123,2,"ambient_control"
"7","24-07-20",10:52:56,"REG2","H3C",1,"hot",3,"control","#1: alpha: 0.159, ETRm: 100.557, Ik: 630.804   (Jassby and Platt 1976)",0.159,100.557,630.804,2,"hot_control"
"8","24-07-20",10:56:28,"REG2","H5L",1,"hot",5,"low","#1: alpha: 0.130, ETRm: 63.499, Ik: 488.660   (Jassby and Platt 1976)",0.13,63.499,488.66,2,"hot_low"
"9","24-07-20",11:00:30,"REG2","H9H",1,"hot",9,"high","#1: alpha: 0.134, ETRm: 71.030, Ik: 529.706   (Jassby and Platt 1976)",0.134,71.03,529.706,2,"hot_high"
"10","24-07-20",11:04:55,"REG2","H6L",1,"hot",6,"low","#1: alpha: 0.133, ETRm: 119.986, Ik: 899.173   (Jassby and Platt 1976)",0.133,119.986,899.173,2,"hot_low"
"11","24-07-20",11:09:16,"REG2","A9H",1,"ambient",9,"high","#1: alpha: 0.119, ETRm: 31.237, Ik: 263.277   (Jassby and Platt 1976)",0.119,31.237,263.277,2,"ambient_high"
"12","24-07-20",11:13:51,"REG2","A7L",2,"ambient",7,"low","#1: alpha: 0.095, ETRm: 44.529, Ik: 468.782   (Jassby and Platt 1976)",0.095,44.529,468.782,2,"ambient_low"
"13","24-07-20",11:17:52,"REG2","A10C",1,"ambient",10,"control","#1: alpha: 0.116, ETRm: 52.339, Ik: 450.911   (Jassby and Platt 1976)",0.116,52.339,450.911,2,"ambient_control"
"14","24-07-20",11:21:34,"REG2","A8L",1,"ambient",8,"low","#1: alpha: 0.104, ETRm: 48.447, Ik: 467.302   (Jassby and Platt 1976)",0.104,48.447,467.302,2,"ambient_low"
"15","24-07-20",11:25:09,"REG2","A4H",1,"ambient",4,"high","#1: alpha: 0.130, ETRm: 32.187, Ik: 247.133   (Jassby and Platt 1976)",0.13,32.187,247.133,2,"ambient_high"
"16","24-07-20",11:28:39,"REG2","A3L",1,"ambient",3,"low","#1: alpha: 0.128, ETRm: 36.038, Ik: 280.742   (Jassby and Platt 1976)",0.128,36.038,280.742,2,"ambient_low"
"17","24-07-20",11:32:28,"REG2","A5H",1,"ambient",5,"high","#1: alpha: 0.110, ETRm: 54.002, Ik: 493.022   (Jassby and Platt 1976)",0.11,54.002,493.022,2,"ambient_high"
"18","24-07-20",11:37:06,"REG2","A4C",1,"ambient",4,"control","#1: alpha: 0.105, ETRm: 81.197, Ik: 770.538   (Jassby and Platt 1976)",0.105,81.197,770.538,2,"ambient_control"
