"","Date","Time","Type","sample_id","condition","temp","aggregate","leachate","1:F","alpha","ETRm","Ik","days_of_exposure","treatment"
"1","24-07-21",11:37:20,"REG2","H7L",2,"hot",7,"low","#1: alpha: 0.153, ETRm: 116.573, Ik: 760.119   (Jassby and Platt 1976)",0.153,116.573,760.119,3,"hot_low"
"2","24-07-21",11:41:21,"REG2","H1L",1,"hot",1,"low","#1: alpha: 0.150, ETRm: 64.931, Ik: 434.034   (Jassby and Platt 1976)",0.15,64.931,434.034,3,"hot_low"
"3","24-07-21",11:45:14,"REG2","H9C",1,"hot",9,"control","#1: alpha: 0.153, ETRm: 76.843, Ik: 501.947   (Jassby and Platt 1976)",0.153,76.843,501.947,3,"hot_control"
"4","24-07-21",11:50:30,"REG2","H10C",1,"hot",10,"control","#1: alpha: 0.166, ETRm: 128.049, Ik: 770.271   (Jassby and Platt 1976)",0.166,128.049,770.271,3,"hot_control"
"5","24-07-21",11:54:54,"REG2","H9H",1,"hot",9,"high","#1: alpha: 0.129, ETRm: 74.197, Ik: 577.008   (Jassby and Platt 1976)",0.129,74.197,577.008,3,"hot_high"
"6","24-07-21",11:59:05,"REG2","H4H",1,"hot",4,"high","#1: alpha: 0.143, ETRm: 71.267, Ik: 498.370   (Jassby and Platt 1976)",0.143,71.267,498.37,3,"hot_high"
"7","24-07-21",12:03:36,"REG2","A4L",1,"ambient",4,"low","#1: alpha: 0.142, ETRm: 62.419, Ik: 438.850   (Jassby and Platt 1976)",0.142,62.419,438.85,3,"ambient_low"
"8","24-07-21",12:08:01,"REG2","A10L",1,"ambient",10,"low","#1: alpha: 0.119, ETRm: 62.161, Ik: 520.362   (Jassby and Platt 1976)",0.119,62.161,520.362,3,"ambient_low"
"9","24-07-21",12:13:39,"REG2","A1C",1,"ambient",1,"control","#1: alpha: 0.129, ETRm: 69.191, Ik: 537.960   (Jassby and Platt 1976)",0.129,69.191,537.96,3,"ambient_control"
"10","24-07-21",12:19:26,"REG2","A9C",1,"ambient",9,"control","#1: alpha: 0.127, ETRm: 33.318, Ik: 262.935   (Jassby and Platt 1976)",0.127,33.318,262.935,3,"ambient_control"
"11","24-07-21",12:26:09,"REG2","A4H",1,"ambient",4,"high","#1: alpha: 0.121, ETRm: 65.498, Ik: 539.186   (Jassby and Platt 1976)",0.121,65.498,539.186,3,"ambient_high"
"12","24-07-21",12:29:53,"REG2","A2H",1,"ambient",2,"high","#1: alpha: 0.105, ETRm: 89.239, Ik: 853.741   (Jassby and Platt 1976)",0.105,89.239,853.741,3,"ambient_high"
"13","24-07-21",12:34:58,"REG2","H6H",1,"hot",6,"high","#1: alpha: 0.159, ETRm: 65.603, Ik: 413.680   (Jassby and Platt 1976)",0.159,65.603,413.68,3,"hot_high"
"14","24-07-21",12:39:05,"REG2","H3H",1,"hot",3,"high","#1: alpha: 0.151, ETRm: 92.730, Ik: 615.456   (Jassby and Platt 1976)",0.151,92.73,615.456,3,"hot_high"
"15","24-07-21",12:43:11,"REG2","H2L",1,"hot",2,"low","#1: alpha: 0.167, ETRm: 80.139, Ik: 479.645   (Jassby and Platt 1976)",0.167,80.139,479.645,3,"hot_low"
