Sync,Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Y (II),1:ETR,1:Fo',1:ETR-F.,1:qP,1:qN,1:qL,1:NPQ,1:Y (NO),1:Y (NPQ),1:Fo,1:Fm,1:Fv/Fm
,24-07-20,10:20:03.624,REG1,,"#1: alpha: 0.171, ETRm: 37.995, Ik: 222.170   ( beta: 0.032, ETRmPot: 63.492 )   (Platt et al. 1980)",,,,,,,,,,,,,,,
,24-07-20,10:20:03.624,REG2,,"#1: alpha: 0.171, ETRm: 30.151, Ik: 176.546   (Jassby and Platt 1976)",,,,,,,,,,,,,,,
LCS,24-07-20,10:20:05.008,FO,1,270,509,0,0.470,0.0,0,0.84,0,0,0,0,0,0,270,509,0.470
,24-07-20,10:20:15.136,F,2,327,523,44,0.375,6.9,269,0.84,0.772,-0.063,0.635,-0.027,0.642,-0.017,270,509,0.470
,24-07-20,10:20:25.254,F,3,337,541,80,0.377,12.7,274,0.84,0.764,-0.117,0.621,-0.059,0.662,-0.039,270,509,0.470
,24-07-20,10:20:35.369,F,4,368,570,116,0.354,17.2,273,0.84,0.680,-0.243,0.504,-0.107,0.723,-0.077,270,509,0.470
,24-07-20,10:20:45.494,F,5,393,571,161,0.312,21.1,282,0.84,0.616,-0.209,0.442,-0.109,0.772,-0.084,270,509,0.470
,24-07-20,10:20:55.607,F,6,458,632,223,0.275,25.8,286,0.84,0.503,-0.448,0.314,-0.195,0.900,-0.175,270,509,0.470
,24-07-20,10:21:05.733,F,7,538,685,337,0.215,30.4,311,0.84,0.393,-0.565,0.227,-0.257,1.057,-0.272,270,509,0.470
,24-07-20,10:21:15.849,F,8,603,724,505,0.167,35.4,334,0.84,0.310,-0.632,0.172,-0.297,1.185,-0.352,270,509,0.470
,24-07-20,10:21:25.973,F,9,694,789,744,0.120,37.5,355,0.84,0.219,-0.816,0.112,-0.355,1.363,-0.483,270,509,0.470
,24-07-20,10:21:36.092,F,10,745,808,1114,0.078,36.5,378,0.84,0.147,-0.799,0.075,-0.370,1.464,-0.542,270,509,0.470
,24-07-20,10:21:46.211,F,11,841,900,1456,0.066,40.4,405,0.84,0.119,-1.071,0.057,-0.434,1.652,-0.718,270,509,0.470
,24-07-20,10:21:56.331,F,12,902,902,2037,0.000,0.0,395,0.84,0.000,-1.121,0.000,-0.436,1.772,-0.772,270,509,0.470
LCE,24-07-20,10:22:06.450,F,13,853,877,2657,0.027,30.1,24,0.84,0.028,-2.569,0.001,-0.420,1.676,-0.703,270,509,0.470
